id,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
0,1,Bulbasaur,1,Normal,Seed,2,Grass,Poison,0.7,6.9,2,Overgrow,None,Chlorophyll,318,45,49,49,65,65,45,45.0,70.0,64.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,2,Ivysaur,1,Normal,Seed,2,Grass,Poison,1.0,13.0,2,Overgrow,None,Chlorophyll,405,60,62,63,80,80,60,45.0,70.0,142.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,3,Venusaur,1,Normal,Seed,2,Grass,Poison,2.0,100.0,2,Overgrow,None,Chlorophyll,525,80,82,83,100,100,80,45.0,70.0,236.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,3,Mega Venusaur,1,Normal,Seed,2,Grass,Poison,2.4,155.5,1,Thick Fat,None,None,625,80,100,123,122,120,80,45.0,70.0,281.0,Medium Slow,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4,4,Charmander,1,Normal,Lizard,1,Fire,None,0.6,8.5,2,Blaze,None,Solar Power,309,39,52,43,60,50,65,45.0,70.0,62.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,5,Charmeleon,1,Normal,Flame,1,Fire,None,1.1,19.0,2,Blaze,None,Solar Power,405,58,64,58,80,65,80,45.0,70.0,142.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
6,6,Charizard,1,Normal,Flame,2,Fire,Flying,1.7,90.5,2,Blaze,None,Solar Power,534,78,84,78,109,85,100,45.0,70.0,240.0,Medium Slow,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
7,6,Mega Charizard X,1,Normal,Flame,2,Fire,Dragon,1.7,110.5,1,Tough Claws,None,None,634,78,130,111,130,85,100,45.0,70.0,285.0,Medium Slow,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0
8,6,Mega Charizard Y,1,Normal,Flame,2,Fire,Flying,1.7,100.5,1,Drought,None,None,634,78,104,78,159,115,100,45.0,70.0,285.0,Medium Slow,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
9,7,Squirtle,1,Normal,Tiny Turtle,1,Water,None,0.5,9.0,2,Torrent,None,Rain Dish,314,44,48,65,50,64,43,45.0,70.0,63.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
